Title:,Healthy,,,,,,,
Parameters:,,,,,,,,
,,,,,,,,
DAQ Settings:,,,,,,,,
Frequency Limit,2000,,,,,,,
Spectral Lines,1600,,,,,,,
Number of Blocks,8,,,,,,,
Total Data Rows,32768,,,,,,,
Channels:,,,,,,,,
Legend,Hor Accl,H Acc,Channel3,Channel4,Ver Accl,Speed,Torque,Channel8
,,,,,,,,
On/Off,OFF,OFF,OFF,OFF,ON,ON,ON,OFF
,,,,,,,,
Volts/Unit,0.1,0.1,1,1,0.1,1,0.0067,1
,,,,,,,,
Data,,,,,,,,
-0.098008,0.850372,0.004381,,,,,,
0.13693,0.853749,0.002765,,,,,,
0.314891,0.850933,0.002938,,,,,,
0.46632,0.854559,0.005796,,,,,,
0.535281,0.850086,0.003034,,,,,,
0.557085,0.855962,0.004815,,,,,,
0.397817,0.848529,0.003143,,,,,,
0.196579,0.857322,0.006863,,,,,,
-0.039773,0.845238,0.002111,,,,,,
-0.259857,0.859265,0.004266,,,,,,
-0.41632,0.842183,0.004875,,,,,,
-0.364017,0.862017,0.000796,,,,,,
-0.348809,0.838187,-0.003944,,,,,,
-0.289917,0.867411,-0.006354,,,,,,
-0.214851,0.832911,0.003432,,,,,,
-0.156887,0.873211,-0.001687,,,,,,
-0.111805,0.82474,-0.00202,,,,,,
0.058393,0.881341,0.002937,,,,,,
0.24789,0.814472,-0.003875,,,,,,
0.278019,0.893779,0.00277,,,,,,
0.325878,0.798912,0.00178,,,,,,
0.354553,0.911654,-0.002423,,,,,,
0.226068,0.775977,0.000669,,,,,,
0.155689,0.943186,0.001291,,,,,,
0.067351,0.732983,0.000083,,,,,,
-0.172189,1.010516,0.004691,,,,,,
-0.232486,0.614236,0.002384,,,,,,
-0.269834,1.280768,0.004751,,,,,,
-0.396578,-1.17393,0.001583,,,,,,
-0.38988,-5.774465,0.002188,,,,,,
-0.273282,-5.115702,0.004878,,,,,,
-0.167377,-5.493153,0.00342,,,,,,
-0.000329,-5.244073,0.003166,,,,,,
0.239748,-5.422893,0.003316,,,,,,
0.252815,-5.292573,0.002054,,,,,,
0.23206,-5.386998,0.002559,,,,,,
0.267625,-5.323098,0.000331,,,,,,
0.243639,-5.360247,0.002484,,,,,,
0.201601,-5.347292,0.001786,,,,,,
0.239797,-5.337474,-0.001346,,,,,,
0.074383,-5.369931,0.005672,,,,,,
-0.163239,-5.311799,-0.001169,,,,,,
-0.286959,-5.396785,0.00424,,,,,,
-0.311908,-5.278573,-0.0014,,,,,,
-0.292088,-5.434643,0.002134,,,,,,
-0.251183,-5.226132,-0.003977,,,,,,
-0.223245,-5.511954,-0.001478,,,,,,
-0.178101,-5.096214,0.00396,,,,,,
-0.030733,-5.780015,-0.000524,,,,,,
0.120486,-1.617551,0.00115,,,,,,
0.244643,1.388382,0.001618,,,,,,
0.440183,0.565176,0.001974,,,,,,
0.547175,1.044235,-0.000422,,,,,,
0.438854,0.716699,0.00303,,,,,,
0.326487,0.964844,0.000412,,,,,,
0.246906,0.769052,0.001065,,,,,,
-0.037806,0.928348,0.002762,,,,,,
-0.3429,0.796429,0.004113,,,,,,
-0.43024,0.90622,0.001893,,,,,,
-0.473968,0.814337,0.001115,,,,,,
-0.557814,0.892484,0.002241,,,,,,
-0.442134,0.826945,0.002711,,,,,,
-0.268614,0.883093,0.001386,,,,,,
-0.187394,0.835468,-0.003356,,,,,,
0.039065,0.8762,0.001218,,,,,,
0.320232,0.842018,0.002029,,,,,,
0.489679,0.87,0.000942,,,,,,
0.607333,0.846211,0.001754,,,,,,
0.678387,0.865839,0.004635,,,,,,
0.563493,0.849108,0.001763,,,,,,
0.36652,0.863215,0.003247,,,,,,
0.151968,0.852135,0.003287,,,,,,
