Title:,Healthy,,,,,,,
Parameters:,,,,,,,,
,,,,,,,,
DAQ Settings:,,,,,,,,
Frequency Limit,2000,,,,,,,
Spectral Lines,1600,,,,,,,
Number of Blocks,8,,,,,,,
Total Data Rows,32768,,,,,,,
Channels:,,,,,,,,
Legend,Hor Accl,H Acc,Channel3,Channel4,Ver Accl,Speed,Torque,Channel8
,,,,,,,,
On/Off,OFF,OFF,OFF,OFF,ON,ON,ON,OFF
,,,,,,,,
Volts/Unit,0.1,0.1,1,1,0.1,1,0.0067,1
,,,,,,,,
Data,,,,,,,,
-0.003444,0.836631,-0.021458,,,,,,
-0.006844,0.835924,-0.008906,,,,,,
-0.027267,0.836198,-0.011044,,,,,,
-0.023352,0.836083,-0.014413,,,,,,
-0.013091,0.835163,-0.007848,,,,,,
0.014797,0.835567,-0.021608,,,,,,
0.009376,0.835172,-0.005509,,,,,,
0.000356,0.835229,-0.00247,,,,,,
-0.014217,0.835424,-0.000274,,,,,,
-0.00982,0.836557,-0.000754,,,,,,
0.011847,0.836303,0.007486,,,,,,
0.025052,0.835894,0.007483,,,,,,
0.055832,0.836018,0.006227,,,,,,
0.071833,0.835069,0.016743,,,,,,
0.033341,0.834832,0.01534,,,,,,
-0.048758,0.834918,0.016578,,,,,,
-0.067656,0.834843,0.010701,,,,,,
-0.034504,0.835359,0.012997,,,,,,
-0.012216,0.835547,0.010309,,,,,,
-0.007521,0.835325,0.013604,,,,,,
0.02225,0.835275,0.013125,,,,,,
0.045391,0.835421,0.015459,,,,,,
0.051493,0.835106,0.013638,,,,,,
-0.020037,0.834686,0.013937,,,,,,
-0.06716,0.834371,0.007468,,,,,,
-0.054113,0.834007,0.011764,,,,,,
-0.021519,0.83378,0.00026,,,,,,
0.053384,0.834127,0.005386,,,,,,
0.093721,0.834086,0.008005,,,,,,
0.058493,0.83407,0.007217,,,,,,
-0.03889,0.834353,0.008726,,,,,,
-0.075453,0.834402,0.003195,,,,,,
-0.061171,0.834135,0.012794,,,,,,
-0.025598,0.833924,0.011307,,,,,,
0.021521,0.833856,0.005648,,,,,,
0.064855,0.833813,0.005457,,,,,,
0.053529,0.833798,0.011514,,,,,,
0.005398,0.833936,0.006253,,,,,,
-0.024477,0.83376,0.00749,,,,,,
-0.03976,0.833501,0.008495,,,,,,
-0.020482,0.834078,0.008809,,,,,,
0.032984,0.833885,-0.001469,,,,,,
0.069658,0.834337,-0.002519,,,,,,
0.050878,0.833834,-0.00451,,,,,,
-0.004806,0.833606,-0.001364,,,,,,
-0.024711,0.832426,-0.011463,,,,,,
-0.077864,0.83333,-0.007713,,,,,,
-0.077911,0.833281,-0.017368,,,,,,
-0.009263,0.834172,-0.019766,,,,,,
0.028309,0.832802,-0.020366,,,,,,
0.024904,0.834205,-0.046608,,,,,,
0.040854,0.832687,-0.064963,,,,,,
0.026384,0.834737,-0.059944,,,,,,
-0.01925,0.83128,-0.018208,,,,,,
-0.01593,0.834271,-0.044906,,,,,,
0.012177,0.830807,-0.023915,,,,,,
0.002425,0.835004,-0.013132,,,,,,
-0.050227,0.829455,0.006088,,,,,,
0.038234,0.836362,-0.002309,,,,,,
0.105239,0.829055,0.002122,,,,,,
0.063533,0.837998,0.004617,,,,,,
0.013326,0.826656,0.00807,,,,,,
0.041095,0.839591,0.007928,,,,,,
0.007603,0.823967,0.008213,,,,,,
-0.074971,0.841974,0.016421,,,,,,
-0.099328,0.821124,0.009925,,,,,,
-0.067256,0.844775,0.008512,,,,,,
-0.074636,0.816511,0.014284,,,,,,
-0.029312,0.851252,0.007651,,,,,,
0.062631,0.810322,0.009562,,,,,,
0.111117,0.861365,0.015505,,,,,,
0.019524,0.794533,0.016806,,,,,,
